content_id,platform,title_or_text,published_at,published_month,impressions_or_views_or_delivered,engagements,engagement_rate,performance_tier,content_length_bucket
li_0042,linkedin,Controversial opinion: you don't need a data lake yet.,2025-06-26 02:15:50,2025-06,852,86,10.09,viral,medium
li_0043,linkedin,Hiring is broken in data engineering. Here's what I'd change.,2024-09-09 19:12:11,2024-09,2399,113,4.71,medium,medium
li_0044,linkedin,Why I switched from Airflow to Dagster — a thread.,2024-05-30 12:06:50,2024-05,538,40,7.43,high,medium
li_0045,linkedin,"Data quality is everyone's responsibility, not just the DE team.",2024-11-20 07:02:38,2024-11,783,61,7.79,high,medium
li_0046,linkedin,My productivity hack: write the SQL query before the schema.,2024-05-07 22:46:54,2024-05,174,8,4.6,medium,medium
li_0047,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2024-11-11 07:13:47,2024-11,24081,1304,5.42,high,medium
li_0048,linkedin,Newsletter engagement metrics are fascinating to analyze.,2024-04-30 16:32:38,2024-04,708,72,10.17,viral,medium
li_0049,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2025-01-05 14:20:29,2025-01,1237,63,5.09,high,medium
li_0050,linkedin,Open source tools have completely transformed how I work.,2024-06-23 00:41:46,2024-06,895,49,5.47,high,medium
li_0051,linkedin,Why event-driven architectures are worth the complexity.,2024-06-13 04:51:00,2024-06,9898,947,9.57,viral,medium
li_0052,linkedin,Just gave a talk on modern data stacks at the local meetup.,2024-10-16 09:00:45,2024-10,805,32,3.98,medium,medium
li_0053,linkedin,Learned something surprising about DuckDB performance today.,2024-02-20 11:38:53,2024-02,1941,94,4.84,medium,medium
li_0054,linkedin,My productivity hack: write the SQL query before the schema.,2024-04-12 17:41:30,2024-04,7739,530,6.85,high,medium
li_0055,linkedin,Grateful for the data community — always learning from you all.,2024-06-14 12:58:33,2024-06,3191,146,4.58,medium,medium
li_0056,linkedin,Grateful for the data community — always learning from you all.,2024-09-18 11:46:44,2024-09,287,12,4.18,medium,medium
li_0057,linkedin,"Data quality is everyone's responsibility, not just the DE team.",2024-06-03 13:12:27,2024-06,899,43,4.78,medium,medium
li_0058,linkedin,Reflecting on 10 years in tech — still love building things.,2024-02-23 20:09:44,2024-02,7099,649,9.14,viral,medium
li_0059,linkedin,Wrote a blog post on incremental materialization patterns.,2024-01-25 23:03:18,2024-01,2034,79,3.88,medium,medium
li_0060,linkedin,Pair programming with an AI agent — surprisingly effective.,2025-03-31 00:23:06,2025-03,1092,79,7.23,high,medium
li_0061,linkedin,Automated testing for data pipelines saved us from a major outage.,2024-12-16 08:45:50,2024-12,1071,83,7.75,high,medium
li_0062,linkedin,Hot take: most data pipelines are over-engineered.,2024-04-10 11:45:43,2024-04,7920,636,8.03,viral,medium
li_0063,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2025-02-21 07:53:46,2025-02,348,14,4.02,medium,medium
li_0064,linkedin,Controversial opinion: you don't need a data lake yet.,2024-09-05 23:33:02,2024-09,1227,38,3.1,medium,medium
li_0065,linkedin,Why I switched from Airflow to Dagster — a thread.,2024-01-10 08:38:11,2024-01,7924,686,8.66,viral,medium
li_0066,linkedin,Learned something surprising about DuckDB performance today.,2024-10-13 07:32:46,2024-10,269,11,4.09,medium,medium
li_0067,linkedin,Learned something surprising about DuckDB performance today.,2024-07-22 16:28:04,2024-07,702,64,9.12,viral,medium
li_0068,linkedin,"The best dashboards tell a story, not just show numbers.",2024-12-22 22:33:10,2024-12,284,13,4.58,medium,medium
li_0069,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2024-02-15 03:31:08,2024-02,8119,507,6.24,high,medium
li_0070,linkedin,Spent the weekend refactoring our ETL and cut costs by 40%.,2025-05-16 20:34:14,2025-05,2734,148,5.41,high,medium
li_0071,linkedin,Wrote a blog post on incremental materialization patterns.,2025-05-06 00:34:47,2025-05,1255,115,9.16,viral,medium
li_0072,linkedin,Building in public: our analytics stack journey.,2024-03-19 17:29:10,2024-03,3866,271,7.01,high,short
li_0073,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2025-05-04 12:04:25,2025-05,265,11,4.15,medium,medium
li_0074,linkedin,The gap between a prototype and production is always larger than expected.,2025-02-11 00:27:46,2025-02,771,26,3.37,medium,medium
li_0075,linkedin,Automated testing for data pipelines saved us from a major outage.,2025-06-05 08:27:51,2025-06,428,11,2.57,medium,medium
li_0076,linkedin,Grateful for the data community — always learning from you all.,2024-05-04 13:31:31,2024-05,1306,51,3.91,medium,medium
li_0077,linkedin,Newsletter engagement metrics are fascinating to analyze.,2024-12-03 18:20:33,2024-12,9309,258,2.77,medium,medium
li_0078,linkedin,Grateful for the data community — always learning from you all.,2024-03-25 05:38:39,2024-03,768,29,3.78,medium,medium
li_0079,linkedin,Just shipped a new feature that reduced query time by 80%.,2024-05-27 07:01:10,2024-05,432,24,5.56,high,medium
li_0080,linkedin,Reflecting on 10 years in tech — still love building things.,2024-02-18 22:21:55,2024-02,1446,119,8.23,viral,medium
li_0081,linkedin,Automated testing for data pipelines saved us from a major outage.,2024-07-30 17:43:31,2024-07,1310,57,4.35,medium,medium
li_0082,linkedin,Open source tools have completely transformed how I work.,2024-03-20 16:19:47,2024-03,425,20,4.71,medium,medium
li_0083,linkedin,The future of analytics is local-first. Change my mind.,2025-01-28 14:39:59,2025-01,1072,50,4.66,medium,medium
li_0084,linkedin,Newsletter engagement metrics are fascinating to analyze.,2024-06-30 09:22:27,2024-06,3877,191,4.93,medium,medium
li_0085,linkedin,The future of analytics is local-first. Change my mind.,2025-06-15 22:14:57,2025-06,364,30,8.24,viral,medium
li_0086,linkedin,The future of analytics is local-first. Change my mind.,2025-06-12 22:10:31,2025-06,268,14,5.22,high,medium
li_0087,linkedin,"The best dashboards tell a story, not just show numbers.",2024-06-02 01:03:11,2024-06,2770,250,9.03,viral,medium
li_0088,linkedin,Controversial opinion: you don't need a data lake yet.,2025-01-07 05:09:44,2025-01,9843,609,6.19,high,medium
li_0089,linkedin,Hiring is broken in data engineering. Here's what I'd change.,2025-03-29 21:07:00,2025-03,7025,213,3.03,medium,medium
li_0090,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2025-01-25 12:27:27,2025-01,2085,196,9.4,viral,medium
li_0091,linkedin,Why event-driven architectures are worth the complexity.,2025-05-19 05:29:18,2025-05,4056,157,3.87,medium,medium
li_0092,linkedin,Newsletter engagement metrics are fascinating to analyze.,2024-11-20 05:24:59,2024-11,233,9,3.86,medium,medium
li_0093,linkedin,Spent the weekend refactoring our ETL and cut costs by 40%.,2025-01-04 21:35:30,2025-01,475,40,8.42,viral,medium
li_0094,linkedin,"Data quality is everyone's responsibility, not just the DE team.",2024-05-01 05:06:07,2024-05,3462,236,6.82,high,medium
li_0095,linkedin,Reflecting on 10 years in tech — still love building things.,2025-02-25 16:46:21,2025-02,1579,59,3.74,medium,medium
li_0096,linkedin,Just gave a talk on modern data stacks at the local meetup.,2025-05-17 14:51:18,2025-05,2268,125,5.51,high,medium
li_0097,linkedin,Why I switched from Airflow to Dagster — a thread.,2024-09-16 23:38:01,2024-09,720,33,4.58,medium,medium
li_0098,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2024-01-13 07:57:19,2024-01,763,69,9.04,viral,medium
li_0099,linkedin,"The best dashboards tell a story, not just show numbers.",2024-04-05 06:02:06,2024-04,223,19,8.52,viral,medium
li_0100,linkedin,Reflecting on 10 years in tech — still love building things.,2024-04-11 18:24:51,2024-04,1873,157,8.38,viral,medium
li_0101,linkedin,Why I switched from Airflow to Dagster — a thread.,2024-07-31 07:18:14,2024-07,1864,148,7.94,high,medium
li_0102,linkedin,Automated testing for data pipelines saved us from a major outage.,2025-03-12 12:40:43,2025-03,1236,42,3.4,medium,medium
li_0103,linkedin,"Data quality is everyone's responsibility, not just the DE team.",2024-10-15 03:10:39,2024-10,2231,154,6.9,high,medium
li_0104,linkedin,Hiring is broken in data engineering. Here's what I'd change.,2024-12-03 01:55:13,2024-12,9865,449,4.55,medium,medium
li_0105,linkedin,The gap between a prototype and production is always larger than expected.,2024-06-19 23:59:09,2024-06,596,25,4.19,medium,medium
li_0106,linkedin,"The best dashboards tell a story, not just show numbers.",2024-03-16 06:36:47,2024-03,817,60,7.34,high,medium
li_0107,linkedin,Just gave a talk on modern data stacks at the local meetup.,2024-10-29 23:34:27,2024-10,1069,45,4.21,medium,medium
li_0108,linkedin,Reflecting on 10 years in tech — still love building things.,2025-06-03 16:56:12,2025-06,1054,57,5.41,high,medium
li_0109,linkedin,Grateful for the data community — always learning from you all.,2025-01-08 20:15:54,2025-01,370,17,4.59,medium,medium
li_0110,linkedin,Reading 'Designing Data-Intensive Applications' for the third time.,2024-04-30 09:49:07,2024-04,150,9,6.0,high,medium
li_0111,linkedin,Why event-driven architectures are worth the complexity.,2024-03-02 19:31:00,2024-03,3137,243,7.75,high,medium
li_0112,linkedin,Hot take: most data pipelines are over-engineered.,2024-04-29 07:46:24,2024-04,611,42,6.87,high,medium
li_0113,linkedin,Open source tools have completely transformed how I work.,2024-09-02 13:17:33,2024-09,200,12,6.0,high,medium
li_0114,linkedin,The gap between a prototype and production is always larger than expected.,2024-04-24 14:14:36,2024-04,5289,464,8.77,viral,medium
li_0115,linkedin,Why event-driven architectures are worth the complexity.,2024-03-17 00:32:05,2024-03,512,12,2.34,medium,medium
li_0116,linkedin,Building in public: our analytics stack journey.,2024-04-01 22:25:01,2024-04,4420,329,7.44,high,short
li_0117,linkedin,Hiring is broken in data engineering. Here's what I'd change.,2025-03-21 02:07:50,2025-03,903,44,4.87,medium,medium
li_0118,linkedin,Wrote a blog post on incremental materialization patterns.,2024-05-16 07:46:14,2024-05,13866,1147,8.27,viral,medium
li_0119,linkedin,The future of analytics is local-first. Change my mind.,2024-12-11 06:59:44,2024-12,1670,65,3.89,medium,medium
li_0120,linkedin,Just gave a talk on modern data stacks at the local meetup.,2024-10-08 12:35:56,2024-10,9058,709,7.83,high,medium
yt_0001,youtube,Building a Local Analytics Stack from Scratch,2025-04-09 03:47:31,2025-04,6395,610,9.54,viral,short
yt_0002,youtube,DuckDB vs PostgreSQL: When to Use What,2024-09-27 02:44:40,2024-09,956,56,5.86,high,short
yt_0003,youtube,Data Pipeline Patterns for Small Teams,2025-04-10 10:08:43,2025-04,13205,526,3.98,medium,short
yt_0004,youtube,How I Track Newsletter Metrics with Python,2024-03-27 06:12:57,2024-03,31,2,6.45,high,short
yt_0005,youtube,Content Creator Analytics Dashboard Tutorial,2024-07-15 19:08:42,2024-07,2708,198,7.31,high,short
yt_0006,youtube,Identity Resolution Explained Simply,2025-02-16 08:33:43,2025-02,1479,50,3.38,medium,short
yt_0007,youtube,ETL Best Practices for Solo Developers,2024-02-12 13:18:32,2024-02,2985,154,5.16,high,short
yt_0008,youtube,My Favorite Open Source BI Tools,2024-07-06 14:11:44,2024-07,4703,187,3.98,medium,short
yt_0009,youtube,Data Modeling for Content Creators,2025-03-16 01:15:30,2025-03,359,16,4.46,medium,short
yt_0010,youtube,Monthly Metrics Review: What I Track and Why,2025-03-20 02:22:23,2025-03,26600,1772,6.66,high,short
yt_0011,youtube,Setting Up Event Tracking with Walker.js,2024-11-03 13:22:05,2024-11,2539,124,4.88,medium,short
yt_0012,youtube,Link Click Analytics with Short.io,2025-02-12 13:18:53,2025-02,30163,1652,5.48,high,short
yt_0013,youtube,Ghost CMS Analytics Deep Dive,2025-05-04 12:57:14,2025-05,628,46,7.32,high,short
yt_0014,youtube,MailerLite vs ConvertKit: Data Comparison,2024-08-22 10:42:36,2024-08,4893,329,6.72,high,short
yt_0015,youtube,Building Ground Truth Datasets,2024-11-24 03:29:30,2024-11,4007,327,8.16,viral,short
yt_0016,youtube,SQL Window Functions for Content Analytics,2025-04-07 12:00:19,2025-04,6106,391,6.4,high,short
yt_0017,youtube,Automating Reports with Python and DuckDB,2024-08-01 21:30:19,2024-08,10298,784,7.61,high,short
yt_0018,youtube,Content Performance Tiers: How I Categorize,2024-07-29 16:38:40,2024-07,286,11,3.85,medium,short
yt_0019,youtube,From Raw Data to Insights: Full Walkthrough,2024-01-07 14:07:34,2024-01,1071,64,5.98,high,short
yt_0020,youtube,Data Engineering Side Projects That Matter,2024-08-17 18:59:44,2024-08,2088,141,6.75,high,short
yt_0021,youtube,Building a Local Analytics Stack from Scratch (Part 2),2024-02-09 20:29:06,2024-02,2270,116,5.11,high,medium
yt_0022,youtube,DuckDB vs PostgreSQL: When to Use What (Part 2),2025-06-01 23:30:09,2025-06,1251,98,7.83,high,short
yt_0023,youtube,Data Pipeline Patterns for Small Teams (Part 2),2024-08-19 06:31:47,2024-08,898,52,5.79,high,short
yt_0024,youtube,How I Track Newsletter Metrics with Python (Part 2),2024-02-15 15:27:21,2024-02,615,49,7.97,high,medium
yt_0025,youtube,Content Creator Analytics Dashboard Tutorial (Part 2),2024-12-17 03:53:50,2024-12,758,64,8.44,viral,medium
yt_0026,youtube,Identity Resolution Explained Simply (Part 2),2024-05-13 11:39:45,2024-05,2454,183,7.46,high,short
yt_0027,youtube,ETL Best Practices for Solo Developers (Part 2),2024-04-05 21:39:50,2024-04,798,62,7.77,high,short
yt_0028,youtube,My Favorite Open Source BI Tools (Part 2),2024-07-22 00:58:37,2024-07,3567,298,8.35,viral,short
yt_0029,youtube,Data Modeling for Content Creators (Part 2),2024-08-22 09:52:08,2024-08,1965,182,9.26,viral,short
yt_0030,youtube,Monthly Metrics Review: What I Track and Why (Part 2),2024-09-27 21:31:03,2024-09,1861,146,7.85,high,medium
yt_0031,youtube,Setting Up Event Tracking with Walker.js (Part 2),2024-03-26 21:23:23,2024-03,3000,208,6.93,high,short
yt_0032,youtube,Link Click Analytics with Short.io (Part 2),2025-04-13 20:15:38,2025-04,22,0,0.0,low,short
yt_0033,youtube,Ghost CMS Analytics Deep Dive (Part 2),2024-01-20 07:24:15,2024-01,27652,1871,6.77,high,short
yt_0034,youtube,MailerLite vs ConvertKit: Data Comparison (Part 2),2024-05-15 13:14:26,2024-05,8721,724,8.3,viral,medium
yt_0035,youtube,Building Ground Truth Datasets (Part 2),2024-03-06 04:37:47,2024-03,2895,132,4.56,medium,short
yt_0036,youtube,SQL Window Functions for Content Analytics (Part 2),2024-01-26 01:50:54,2024-01,227,19,8.37,viral,medium
yt_0037,youtube,Automating Reports with Python and DuckDB (Part 2),2024-06-18 15:23:01,2024-06,254,12,4.72,medium,medium
yt_0038,youtube,Content Performance Tiers: How I Categorize (Part 2),2025-03-04 08:10:57,2025-03,4080,250,6.13,high,medium
yt_0039,youtube,From Raw Data to Insights: Full Walkthrough (Part 2),2025-06-28 19:00:08,2025-06,25683,1790,6.97,high,medium
yt_0040,youtube,Data Engineering Side Projects That Matter (Part 2),2024-03-23 05:01:18,2024-03,2425,161,6.64,high,medium
yt_0041,youtube,Building a Local Analytics Stack from Scratch (Part 3),2024-07-01 22:04:03,2024-07,5261,388,7.38,high,medium
yt_0042,youtube,DuckDB vs PostgreSQL: When to Use What (Part 3),2024-04-22 00:52:01,2024-04,15409,1497,9.72,viral,short
yt_0043,youtube,Data Pipeline Patterns for Small Teams (Part 3),2024-03-18 17:39:43,2024-03,999,50,5.01,high,short
yt_0044,youtube,How I Track Newsletter Metrics with Python (Part 3),2024-08-13 12:41:46,2024-08,11845,930,7.85,high,medium
yt_0045,youtube,Content Creator Analytics Dashboard Tutorial (Part 3),2024-10-02 23:07:31,2024-10,3238,198,6.11,high,medium
