post_id,title,slug,published_at,word_count,email_delivered_count,email_opened_count
gp_0034,Event Tracking Best Practices — Part 2,event-tracking-best-practices-—-part-2,2025-05-24 01:55:55,2821,438,153
gp_0035,Link Analytics: What Clicks Tell You — Part 2,link-analytics-what-clicks-tell-you-—-part-2,2025-03-07 06:57:24,2553,283,66
gp_0036,Email Open Rates: Myths and Reality — Part 2,email-open-rates-myths-and-reality-—-part-2,2025-01-21 09:27:33,2452,212,143
gp_0037,Building Dashboards That Drive Decisions — Part 2,building-dashboards-that-drive-decisions-—-part-2,2024-10-11 06:01:29,2369,181,73
gp_0038,Data Modeling for Content Businesses — Part 2,data-modeling-for-content-businesses-—-part-2,2024-10-20 05:19:08,676,278,86
gp_0039,Automating Your Monthly Metrics Report — Part 2,automating-your-monthly-metrics-report-—-part-2,2024-04-26 11:47:17,1659,269,102
gp_0040,The Future of Creator Analytics — Part 2,the-future-of-creator-analytics-—-part-2,2024-04-29 06:30:25,2832,371,162
gp_0041,The Case for Local-First Analytics — Part 3,the-case-for-local-first-analytics-—-part-3,2024-11-02 11:43:46,2959,104,26
gp_0042,Understanding Your Newsletter Metrics — Part 3,understanding-your-newsletter-metrics-—-part-3,2024-07-07 22:04:46,1284,428,216
gp_0043,Building a Data Stack on a Budget — Part 3,building-a-data-stack-on-a-budget-—-part-3,2024-12-05 03:18:35,463,449,288
gp_0044,Identity Resolution Without a CDP — Part 3,identity-resolution-without-a-cdp-—-part-3,2024-07-27 05:30:23,764,297,97
gp_0045,Monthly Content Review: Lessons Learned — Part 3,monthly-content-review-lessons-learned-—-part-3,2025-01-30 06:58:34,401,364,222
gp_0046,Why I Self-Host My Analytics — Part 3,why-i-self-host-my-analytics-—-part-3,2024-07-23 17:27:00,2383,328,145
gp_0047,Data Quality Checklist for Creators — Part 3,data-quality-checklist-for-creators-—-part-3,2024-06-10 20:28:14,2968,198,71
gp_0048,ETL Patterns for Newsletter Data — Part 3,etl-patterns-for-newsletter-data-—-part-3,2024-02-14 23:03:17,693,185,126
gp_0049,Choosing the Right BI Tool — Part 3,choosing-the-right-bi-tool-—-part-3,2025-02-26 05:33:57,2484,103,52
gp_0050,Content Performance: Beyond Vanity Metrics — Part 3,content-performance-beyond-vanity-metrics-—-part-3,2024-04-25 02:04:49,2878,496,152
gp_0051,How to Track Cross-Platform Engagement — Part 3,how-to-track-cross-platform-engagement-—-part-3,2025-01-09 05:32:58,725,205,96
gp_0052,The Modern Creator's Data Toolkit — Part 3,the-modern-creator's-data-toolkit-—-part-3,2025-01-18 16:44:33,2082,431,262
gp_0053,From Spreadsheets to SQL: A Migration Guide — Part 3,from-spreadsheets-to-sql-a-migration-guide-—-part-3,2024-02-09 09:04:00,929,112,48
gp_0054,Event Tracking Best Practices — Part 3,event-tracking-best-practices-—-part-3,2024-06-30 02:47:53,658,137,31
gp_0055,Link Analytics: What Clicks Tell You — Part 3,link-analytics-what-clicks-tell-you-—-part-3,2025-03-09 15:23:26,2585,136,66
gp_0056,Email Open Rates: Myths and Reality — Part 3,email-open-rates-myths-and-reality-—-part-3,2024-05-04 07:04:06,1359,308,121
gp_0057,Building Dashboards That Drive Decisions — Part 3,building-dashboards-that-drive-decisions-—-part-3,2024-12-10 02:22:01,2073,261,54
gp_0058,Data Modeling for Content Businesses — Part 3,data-modeling-for-content-businesses-—-part-3,2025-01-02 14:54:23,2490,103,53
gp_0059,Automating Your Monthly Metrics Report — Part 3,automating-your-monthly-metrics-report-—-part-3,2024-12-03 14:50:59,2698,123,67
gp_0060,The Future of Creator Analytics — Part 3,the-future-of-creator-analytics-—-part-3,2024-02-09 15:12:43,2359,154,53
