post_id,text,impressions,reactions,comments,shares,published_at
li_0083,The future of analytics is local-first. Change my mind.,1072,45,4,1,2025-01-28 14:39:59
li_0084,Newsletter engagement metrics are fascinating to analyze.,3877,128,31,32,2024-06-30 09:22:27
li_0085,The future of analytics is local-first. Change my mind.,364,27,2,1,2025-06-15 22:14:57
li_0086,The future of analytics is local-first. Change my mind.,268,11,3,0,2025-06-12 22:10:31
li_0087,"The best dashboards tell a story, not just show numbers.",2770,208,15,27,2024-06-02 01:03:11
li_0088,Controversial opinion: you don't need a data lake yet.,9843,416,145,48,2025-01-07 05:09:44
li_0089,Hiring is broken in data engineering. Here's what I'd change.,7025,138,52,23,2025-03-29 21:07:00
li_0090,Reading 'Designing Data-Intensive Applications' for the third time.,2085,165,22,9,2025-01-25 12:27:27
li_0091,Why event-driven architectures are worth the complexity.,4056,50,78,29,2025-05-19 05:29:18
li_0092,Newsletter engagement metrics are fascinating to analyze.,233,5,3,1,2024-11-20 05:24:59
li_0093,Spent the weekend refactoring our ETL and cut costs by 40%.,475,36,4,0,2025-01-04 21:35:30
li_0094,"Data quality is everyone's responsibility, not just the DE team.",3462,201,20,15,2024-05-01 05:06:07
li_0095,Reflecting on 10 years in tech — still love building things.,1579,53,3,3,2025-02-25 16:46:21
li_0096,Just gave a talk on modern data stacks at the local meetup.,2268,77,36,12,2025-05-17 14:51:18
li_0097,Why I switched from Airflow to Dagster — a thread.,720,23,5,5,2024-09-16 23:38:01
li_0098,Reading 'Designing Data-Intensive Applications' for the third time.,763,50,14,5,2024-01-13 07:57:19
li_0099,"The best dashboards tell a story, not just show numbers.",223,17,1,1,2024-04-05 06:02:06
li_0100,Reflecting on 10 years in tech — still love building things.,1873,115,33,9,2024-04-11 18:24:51
li_0101,Why I switched from Airflow to Dagster — a thread.,1864,116,30,2,2024-07-31 07:18:14
li_0102,Automated testing for data pipelines saved us from a major outage.,1236,29,5,8,2025-03-12 12:40:43
li_0103,"Data quality is everyone's responsibility, not just the DE team.",2231,117,28,9,2024-10-15 03:10:39
li_0104,Hiring is broken in data engineering. Here's what I'd change.,9865,304,128,17,2024-12-03 01:55:13
li_0105,The gap between a prototype and production is always larger than expected.,596,21,2,2,2024-06-19 23:59:09
li_0106,"The best dashboards tell a story, not just show numbers.",817,44,11,5,2024-03-16 06:36:47
li_0107,Just gave a talk on modern data stacks at the local meetup.,1069,34,10,1,2024-10-29 23:34:27
li_0108,Reflecting on 10 years in tech — still love building things.,1054,38,12,7,2025-06-03 16:56:12
li_0109,Grateful for the data community — always learning from you all.,370,16,1,0,2025-01-08 20:15:54
li_0110,Reading 'Designing Data-Intensive Applications' for the third time.,150,7,2,0,2024-04-30 09:49:07
li_0111,Why event-driven architectures are worth the complexity.,3137,212,8,23,2024-03-02 19:31:00
li_0112,Hot take: most data pipelines are over-engineered.,611,34,3,5,2024-04-29 07:46:24
li_0113,Open source tools have completely transformed how I work.,200,8,3,1,2024-09-02 13:17:33
li_0114,The gap between a prototype and production is always larger than expected.,5289,371,68,25,2024-04-24 14:14:36
li_0115,Why event-driven architectures are worth the complexity.,512,7,4,1,2024-03-17 00:32:05
li_0116,Building in public: our analytics stack journey.,4420,221,84,24,2024-04-01 22:25:01
li_0117,Hiring is broken in data engineering. Here's what I'd change.,903,26,12,6,2025-03-21 02:07:50
li_0118,Wrote a blog post on incremental materialization patterns.,13866,877,196,74,2024-05-16 07:46:14
li_0119,The future of analytics is local-first. Change my mind.,1670,25,27,13,2024-12-11 06:59:44
li_0120,Just gave a talk on modern data stacks at the local meetup.,9058,554,92,63,2024-10-08 12:35:56
